Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Pathway	RefSeq	KEGG	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
Q7V1V1	Q7V1V1_PROMP	"Glycosyl transferase, family 2"	PMM0752	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	305	PMM0752			pmm:PMM0752;		transferase activity [GO:0016740]	
Q7V1V2	Q7V1V2_PROMP	30S ribosomal protein S20	PMM0751	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	49	PMM0751			pmm:PMM0751;			
Q7V1V3	Q7V1V3_PROMP	"ABC transporter, ATP-binding component"	PMM0750	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	240	PMM0750		WP_011132384.1	pmm:PMM0750;		ATP binding [GO:0005524]	
Q7V1V4	Q7V1V4_PROMP	"ABC-transporter, membrane spanning component"	PMM0749	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	391	PMM0749			pmm:PMM0749;			plasma membrane [GO:0005886]
Q7V1V5	Q7V1V5_PROMP	Possible ABC transporter component	PMM0748	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	305	PMM0748			pmm:PMM0748;			
Q7V1V6	Q7V1V6_PROMP	Possible Zn-dependent peptidase (EC 3.4.-.-)	PMM0746	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	416	PMM0746		WP_011132380.1	pmm:PMM0746;	proteolysis [GO:0006508]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	
Q7V1V7	Q7V1V7_PROMP	Insulinase family (Peptidase family M16) (EC 3.4.-.-)	PMM0745	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	409	PMM0745		WP_011132379.1	pmm:PMM0745;		hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	
Q7V1V8	Q7V1V8_PROMP	DUF3148 domain-containing protein	PMM0744	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	71	PMM0744		WP_011132378.1	pmm:PMM0744;	NADH dehydrogenase complex (plastoquinone) assembly [GO:0010258]		
Q7V1W3	Q7V1W3_PROMP	Metal-binding protein	PMM0739	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	92	PMM0739		WP_011132373.1	pmm:PMM0739;			
Q7V1W4	Q7V1W4_PROMP	Conserved hypothetical	PMM0738	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	89	PMM0738		WP_011132372.1	pmm:PMM0738;			
Q7V1W5	Q7V1W5_PROMP	Hypothetical membrane protein	PMM0737	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	145	PMM0737		WP_011132371.1	pmm:PMM0737;			membrane [GO:0016020]
Q7V1W6	Q7V1W6_PROMP	Phage protein	PMM0735	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	67	PMM0735		WP_011132369.1	pmm:PMM0735;			
Q7V1W7	Q7V1W7_PROMP	DUF2130 domain-containing protein	PMM0733	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	438	PMM0733		WP_011132367.1	pmm:PMM0733;			
Q7V1W8	Q7V1W8_PROMP	Possible COMC family	PMM0731	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	136	PMM0731		WP_011132365.1	pmm:PMM0731;			
Q7V1W9	Q7V1W9_PROMP	mRNA 3-end processing factor	PMM0730	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	330	PMM0730		WP_011132364.1	pmm:PMM0730;			
Q7V1X1	Q7V1X1_PROMP	Serine/threonine specific protein phosphatase	PMM0727	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	214	PMM0727		WP_011132361.1	pmm:PMM0727;		hydrolase activity [GO:0016787]	
Q7V1X2	Q7V1X2_PROMP	Signal peptide protein	PMM0726	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	102	PMM0726		WP_011132360.1	pmm:PMM0726;			
Q7V1X6	Q7V1X6_PROMP	Conserved membrane protein	PMM0722	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	77	PMM0722		WP_011132356.1	pmm:PMM0722;			membrane [GO:0016020]
Q7V1X7	Q7V1X7_PROMP	ABM domain-containing protein	PMM0719	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	101	PMM0719		WP_011132353.1	pmm:PMM0719;			
Q7V1X8	Q7V1X8_PROMP	"Phosphonate ABC transporter, permease protein PhnE"	PMM0717	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	76	PMM0717		WP_011132351.1	pmm:PMM0717;			membrane [GO:0016020]
Q7V1X9	Q7V1X9_PROMP	"Putative arsenite transporter, ACR3 family"	PMM0716	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	321	PMM0716			pmm:PMM0716;		antiporter activity [GO:0015297]; inorganic anion transmembrane transporter activity [GO:0015103]	plasma membrane [GO:0005886]
Q7V1Y0	Q7V1Y0_PROMP	Possible chorismate binding enzyme	PMM0715	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	55	PMM0715		WP_011132349.1	pmm:PMM0715;			
Q7V1Y1	Q7V1Y1_PROMP	"Bacterial regulatory proteins, ArsR family"	PMM0714	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	126	PMM0714			pmm:PMM0714;		DNA-binding transcription factor activity [GO:0003700]	
Q7V1Y3	Q7V1Y3_PROMP	"Multidrug efflux transporter, MFS family"	PMM0712	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	419	PMM0712		WP_011132346.1	pmm:PMM0712;		transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]
Q7V1Y4	Q7V1Y4_PROMP	"Putative chromate transporter, CHR family"	PMM0711	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	408	PMM0711		WP_011132345.1	pmm:PMM0711;		chromate transmembrane transporter activity [GO:0015109]	plasma membrane [GO:0005886]
Q7V1Y5	Q7V1Y5_PROMP	Phosphate-binding protein	PMM0710	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	323	PMM0710		WP_011132344.1	pmm:PMM0710;	phosphate ion transmembrane transport [GO:0035435]	phosphate ion binding [GO:0042301]	ATP-binding cassette (ABC) transporter complex [GO:0043190]
Q7V1Y6	Q7V1Y6_PROMP	Possible porin	som PMM0709	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	452	PMM0709		WP_011132343.1	pmm:PMM0709;	carbohydrate transport [GO:0008643]	porin activity [GO:0015288]	
Q7V1Y7	Q7V1Y7_PROMP	Putative secreted protein	PMM0708	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	760	PMM0708		WP_011132342.1	pmm:PMM0708;	nucleotide catabolic process [GO:0009166]	hydrolase activity [GO:0016787]	
Q7V1Y8	Q7V1Y8_PROMP	"Two-component sensor histidine kinase, phosphate sensing (EC 2.7.3.-)"	phoR PMM0706	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	382	PMM0706		WP_011132340.1	pmm:PMM0706;		phosphorelay sensor kinase activity [GO:0000155]	
Q7V1Y9	Q7V1Y9_PROMP	"Two-component response regulator, phosphate"	phoB PMM0705	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	242	PMM0705			pmm:PMM0705;	phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]	DNA binding [GO:0003677]	
Q7V1Z0	Q7V1Z0_PROMP	"Putative potassium channel, VIC family"	PMM0704	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	351	PMM0704		WP_011132338.1	pmm:PMM0704;	potassium ion transport [GO:0006813]	cation transmembrane transporter activity [GO:0008324]	membrane [GO:0016020]
Q7V1Z1	Q7V1Z1_PROMP	DUF1499 domain-containing protein	PMM0703	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	117	PMM0703		WP_011132337.1	pmm:PMM0703;			
Q7V1Z2	Q7V1Z2_PROMP	Possible DUP family	PMM0702	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	128	PMM0702		WP_011132336.1	pmm:PMM0702;			membrane [GO:0016020]
Q7V1Z3	Q7V1Z3_PROMP	Possible LysM domain	PMM0701	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	103	PMM0701		WP_011132335.1	pmm:PMM0701;			
Q7V1Z4	Q7V1Z4_PROMP	Uncharacterized protein	PMM0700	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	80	PMM0700		WP_011132334.1	pmm:PMM0700;			
Q7V1Z5	Q7V1Z5_PROMP	Conserved hypothetical	PMM0699	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	78	PMM0699		WP_011132333.1	pmm:PMM0699;			membrane [GO:0016020]
Q7V1Z6	Q7V1Z6_PROMP	Possible DnaJ central domain (4 repeats)	PMM0698	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	83	PMM0698		WP_011132332.1	pmm:PMM0698;			
Q7V1Z7	Q7V1Z7_PROMP	Possible D12 class N6 adenine-specific DNA met	PMM0697	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	75	PMM0697		WP_011132331.1	pmm:PMM0697;			
Q7V1Z8	Q7V1Z8_PROMP	DUF2214 family protein	PMM0696	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	84	PMM0696		WP_011132330.1	pmm:PMM0696;			membrane [GO:0016020]
Q7V1Z9	Q7V1Z9_PROMP	Glutamine amidotransferase class-I	PMM0695	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	242	PMM0695		WP_011132329.1	pmm:PMM0695;	glutamine metabolic process [GO:0006541]	transferase activity [GO:0016740]	
Q7V200	Q7V200_PROMP	Short-chain dehydrogenase/reductase (SDR) superfamily	PMM0694	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	221	PMM0694		WP_011132328.1	pmm:PMM0694;			
Q7V201	Q7V201_PROMP	Possible DDT domain	PMM0692	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	71	PMM0692		WP_011132326.1	pmm:PMM0692;			
Q7V202	Q7V202_PROMP	TIGR02450 family Trp-rich protein	PMM0691	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	68	PMM0691		WP_011132325.1	pmm:PMM0691;			
Q7V203	Q7V203_PROMP	Possible high light inducible protein	hli21 PMM0690	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	44	PMM0690		WP_011132324.1	pmm:PMM0690;			membrane [GO:0016020]
Q7V204	Q7V204_PROMP	Possible high light inducible protein	hli22 PMM0689	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	84	PMM0689		WP_011132323.1	pmm:PMM0689;			membrane [GO:0016020]
Q7V205	Q7V205_PROMP	Conserved hypothetical	PMM0687	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	108	PMM0687			pmm:PMM0687;			
Q7V206	Q7V206_PROMP	ATP-dependent Clp protease adaptor ClpS	PMM0686	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	60	PMM0686			pmm:PMM0686;			
Q7V207	Q7V207_PROMP	RING-type domain-containing protein	PMM0685	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	76	PMM0685		WP_011132319.1	pmm:PMM0685;			
Q7V210	Q7V210_PROMP	SAM-dependent methyltransferase	PMM0681	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	396	PMM0681		WP_011132315.1	pmm:PMM0681;	methylation [GO:0032259]	methyltransferase activity [GO:0008168]	
Q7V211	Q7V211_PROMP	Methanol dehydrogenase	PMM0680	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	265	PMM0680		WP_011132314.1	pmm:PMM0680;			membrane [GO:0016020]
Q7V212	Q7V212_PROMP	Putative transcripton factor	PMM0679	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	289	PMM0679			pmm:PMM0679;		hydrolase activity [GO:0016787]	
Q7V214	Q7V214_PROMP	Carboxyl-terminal processing protease (EC 3.4.21.-)	PMM0677	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	429	PMM0677			pmm:PMM0677;	proteolysis [GO:0006508]	serine-type peptidase activity [GO:0008236]	
Q7V218	Q7V218_PROMP	Putative phosphonate binding protein for ABC transporter	PMM0673	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	301	PMM0673		WP_011132307.1	pmm:PMM0673;	transmembrane transport [GO:0055085]		ATP-binding cassette (ABC) transporter complex [GO:0043190]
Q7V219	Q7V219_PROMP	Putative phosphonate ABC transporter	PMM0672	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	245	PMM0672		WP_011132306.1	pmm:PMM0672;		ATP binding [GO:0005524]	
Q7V220	Q7V220_PROMP	Putative phosphonate ABC transporter	PMM0671	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	500	PMM0671		WP_011132305.1	pmm:PMM0671;	transmembrane transport [GO:0055085]		membrane [GO:0016020]
Q7V221	Q7V221_PROMP	SGNH_hydro domain-containing protein	PMM0670	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	214	PMM0670		WP_011132304.1	pmm:PMM0670;			
Q7V222	Q7V222_PROMP	DUF92 domain-containing protein	PMM0669	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	247	PMM0669		WP_011132303.1	pmm:PMM0669;			membrane [GO:0016020]
Q7V224	Q7V224_PROMP	DUF3531 family protein	PMM0667	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	147	PMM0667		WP_011132301.1	pmm:PMM0667;			
Q7V225	Q7V225_PROMP	"Possible ABC transporter, ATP-binding component"	PMM0666	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	215	PMM0666		WP_011132300.1	pmm:PMM0666;	transmembrane transport [GO:0055085]	ATP binding [GO:0005524]	membrane [GO:0016020]
Q7V227	Q7V227_PROMP	Cyanobacteria-specific chaperone containing DNAJ domain fused to a membrane domain	PMM0664	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	224	PMM0664		WP_011132298.1	pmm:PMM0664;			membrane [GO:0016020]
Q7V229	Q7V229_PROMP	Methyltransf_25 domain-containing protein	PMM0662	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	231	PMM0662		WP_011132296.1	pmm:PMM0662;			
Q7V230	Q7V230_PROMP	Ribonucleotide reductase (Class II) (EC 1.17.4.1)	nrdJ PMM0661	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	802	PMM0661			pmm:PMM0661;	DNA replication [GO:0006260]	"cobalamin binding [GO:0031419]; nucleotide binding [GO:0000166]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; ribonucleoside-triphosphate reductase activity [GO:0008998]"	
Q7V231	Q7V231_PROMP	NAD-dependent DNA ligase N-terminus (EC 6.5.1.2)	PMM0659	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	249	PMM0659		WP_011132293.1	pmm:PMM0659;		DNA ligase (NAD+) activity [GO:0003911]	
Q7V233	Q7V233_PROMP	Possible 7TM chemoreceptor	PMM0656	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	150	PMM0656			pmm:PMM0656;			membrane [GO:0016020]
Q7V234	Q7V234_PROMP	LprI domain-containing protein	PMM0655	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	98	PMM0655			pmm:PMM0655;			
Q7V235	Q7V235_PROMP	Protein TIC 20	PMM0654	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	144	PMM0654		WP_011132288.1	pmm:PMM0654;			membrane [GO:0016020]
Q7V236	Q7V236_PROMP	"Possible 5'-3' exonuclease, C-terminal SAM fol"	PMM0652	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	125	PMM0652		WP_011132286.1	pmm:PMM0652;		exonuclease activity [GO:0004527]	membrane [GO:0016020]
Q7V237	Q7V237_PROMP	Possible VHS domain	PMM0651	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	165	PMM0651		WP_011132285.1	pmm:PMM0651;			
Q7V238	Q7V238_PROMP	Possible LEM domain	PMM0650	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	138	PMM0650			pmm:PMM0650;			
Q7V239	Q7V239_PROMP	Pentapeptide repeats	PMM0649	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	157	PMM0649		WP_011132283.1	pmm:PMM0649;			
Q7V240	Q7V240_PROMP	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	PMM0648	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	548	PMM0648		WP_011132282.1	pmm:PMM0648;		"oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]"	
Q7V241	Q7V241_PROMP	DUF2811 domain-containing protein	PMM0647	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	85	PMM0647		WP_011132281.1	pmm:PMM0647;			
Q7V243	Q7V243_PROMP	"FAD linked oxidase, N-terminal"	PMM0645	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	425	PMM0645		WP_011132279.1	pmm:PMM0645;		FAD binding [GO:0071949]	
Q7V244	Q7V244_PROMP	Putative sulfate transporter	PMM0644	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	522	PMM0644		WP_011132278.1	pmm:PMM0644;		secondary active sulfate transmembrane transporter activity [GO:0008271]	membrane [GO:0016020]
Q7V246	Q7V246_PROMP	Helicase	PMM0641	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	219	PMM0641		WP_011132275.1	pmm:PMM0641;			
Q7V247	Q7V247_PROMP	AMMECR1 domain-containing protein	PMM0640	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	508	PMM0640			pmm:PMM0640;			
Q7V248	Q7V248_PROMP	Putative glucosylglycerolphosphate phosphatase (EC 3.1.3.69)	stpA PMM0639	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	403	PMM0639		WP_011132273.1	pmm:PMM0639;		glucosylglycerol 3-phosphatase activity [GO:0050530]	
Q7V249	Q7V249_PROMP	DUF3641 domain-containing protein	PMM0638	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	310	PMM0638		WP_011132272.1	pmm:PMM0638;		catalytic activity [GO:0003824]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]	
Q7V250	Q7V250_PROMP	Ferric uptake regulator family	fur PMM0637	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	150	PMM0637		WP_011132271.1	pmm:PMM0637;		DNA-binding transcription factor activity [GO:0003700]	
Q7V251	Q7V251_PROMP	Isochorismatase hydrolase family	PMM0636	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	185	PMM0636		WP_011132270.1	pmm:PMM0636;		hydrolase activity [GO:0016787]	
Q7V252	Q7V252_PROMP	"Small mechanosensitive ion channel, MscS family"	PMM0635	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	343	PMM0635		WP_011132269.1	pmm:PMM0635;	transmembrane transport [GO:0055085]		plasma membrane [GO:0005886]
Q7V253	Q7V253_PROMP	Possible light-dependent protochlorophyllide oxido-reductase	pcr por PMM0634	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	333	PMM0634		WP_011132268.1	pmm:PMM0634;			
Q7V254	Q7V254_PROMP	Putative lycopene epsilon cyclase	crtL2 PMM0633	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	427	PMM0633		WP_011132267.1	pmm:PMM0633;	carotenoid biosynthetic process [GO:0016117]	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"	
Q7V255	Q7V255_PROMP	Short-chain dehydrogenase/reductase (SDR) superfamily	PMM0632	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	235	PMM0632		WP_011132266.1	pmm:PMM0632;			
Q7V256	Q7V256_PROMP	Glutathione S-transferase N terminus (EC 2.5.1.18)	"GSTTLp28,P28,GSTO1 PMM0630"	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	219	PMM0630		WP_011132264.1	pmm:PMM0630;		glutathione transferase activity [GO:0004364]	
Q7V257	Q7V257_PROMP	SAM domain-containing protein	PMM0629	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	85	PMM0629		WP_011132263.1	pmm:PMM0629;			
Q7V258	Q7V258_PROMP	"Possible sodium:solute symporter, ESS family"	PMM0628	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	457	PMM0628		WP_011132262.1	pmm:PMM0628;	L-glutamate transmembrane transport [GO:0015813]	glutamate:sodium symporter activity [GO:0015501]	membrane [GO:0016020]
Q7V260	Q7V260_PROMP	DNA-binding protein	PMM0626	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	78	PMM0626		WP_011132260.1	pmm:PMM0626;			
Q7V261	Q7V261_PROMP	TIGR02450 family Trp-rich protein	PMM0625	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	100	PMM0625		WP_011132259.1	pmm:PMM0625;			
Q7V262	Q7V262_PROMP	Possible Hantavirus glycoprotein G2	PMM0624	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	84	PMM0624		WP_011132258.1	pmm:PMM0624;			membrane [GO:0016020]
Q7V264	Q7V264_PROMP	GLTT repeat (6 copies)	PMM0622	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	137	PMM0622		WP_011132256.1	pmm:PMM0622;			membrane [GO:0016020]
Q7V265	Q7V265_PROMP	"Possible DNA polymerase III, epsilon subunit (EC 2.7.7.7)"	dnaQ PMM0621	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	270	PMM0621		WP_011132255.1	pmm:PMM0621;		DNA-directed DNA polymerase activity [GO:0003887]; exonuclease activity [GO:0004527]; nucleic acid binding [GO:0003676]	
Q7V266	Q7V266_PROMP	Alpha/beta hydrolase	PMM0620	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	240	PMM0620		WP_011132254.1	pmm:PMM0620;			
Q7V268	Q7V268_PROMP	Polyprenyl synthetase solanesyl diphosphate synthase (Sds) (EC 2.5.1.11)	sds PMM0618	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	323	PMM0618		WP_011132252.1	pmm:PMM0618;	isoprenoid biosynthetic process [GO:0008299]	transferase activity [GO:0016740]	
Q7V269	Q7V269_PROMP	Cell wall hydrolase/autolysin	PMM0616	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	362	PMM0616		WP_011132250.1	pmm:PMM0616;	peptidoglycan catabolic process [GO:0009253]	N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]	
Q7V270	Q7V270_PROMP	Possible nitrilase	PMM0615	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	275	PMM0615		WP_011132249.1	pmm:PMM0615;	nitrogen compound metabolic process [GO:0006807]	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]"	
Q7V273	Q7V273_PROMP	Methyltransf_30 domain-containing protein	PMM0612	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	310	PMM0612			pmm:PMM0612;		"oxidoreductase activity, acting on the CH-NH group of donors [GO:0016645]"	
Q7V279	Q7V279_PROMP	DUF760 domain-containing protein	PMM0605	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	112	PMM0605		WP_011132239.1	pmm:PMM0605;			
Q7V280	Q7V280_PROMP	DUF4336 domain-containing protein	PMM0604	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	388	PMM0604		WP_011132238.1	pmm:PMM0604;			
Q7V281	Q7V281_PROMP	"ABC transporter component, possibly Mn transport"	PMM0603	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	290	PMM0603		WP_011132237.1	pmm:PMM0603;	transmembrane transport [GO:0055085]		ATP-binding cassette (ABC) transporter complex [GO:0043190]
Q7V282	Q7V282_PROMP	"ABC transporter, ATP binding domain, possibly Mn transporter"	PMM0602	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	254	PMM0602		WP_011132236.1	pmm:PMM0602;		ATP binding [GO:0005524]	
Q7V283	Q7V283_PROMP	"ABC transporter, substrate binding protein, possibly Mn"	PMM0601	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	300	PMM0601		WP_011132235.1	pmm:PMM0601;	cell adhesion [GO:0007155]; metal ion transport [GO:0030001]	metal ion binding [GO:0046872]	
Q7V284	Q7V284_PROMP	Membrane associated GTPase	PMM0600	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	441	PMM0600		WP_011132234.1	pmm:PMM0600;			membrane [GO:0016020]
Q7V285	Q7V285_PROMP	Translation initiation factor IF-2	PMM0599	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	151	PMM0599		WP_011132233.1	pmm:PMM0599;			
Q7V288	Q7V288_PROMP	Putative glucokinase (EC 2.7.1.2)	PMM0596	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	345	PMM0596		WP_011132230.1	pmm:PMM0596;	glycolytic process [GO:0006096]	ATP binding [GO:0005524]; glucokinase activity [GO:0004340]; glucose binding [GO:0005536]	
Q7V291	Q7V291_PROMP	Lipase family protein (EC 3.1.1.3)	PMM0592	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	197	PMM0592		WP_011132226.1	pmm:PMM0592;		triglyceride lipase activity [GO:0004806]	
